book_id,category,category_id
7243,Juvenile Nonfiction,16
7244,Computers,35
7245,Poetry,18
7246,Fiction,5
7247,England,88
7248,History,1
7249,Juvenile Fiction,9
7250,Juvenile Nonfiction,16
7251,Medical,81
7252,Biography & Autobiography,2
7253,Juvenile Nonfiction,16
7254,Language Arts & Disciplines,61
7255,Juvenile Fiction,9
7256,Artists,335
7257,Language Arts & Disciplines,61
7258,Biography & Autobiography,2
7259,Fiction,5
7260,Cooking,44
7261,"Body, Mind & Spirit",24
7262,Nature,66
7263,Literary Collections,32
7264,Computers,35
7265,Sports & Recreation,71
7266,Fiction,5
7267,Religion,25
7268,Architecture,114
7269,Business & Economics,21
7270,Fiction,5
7271,Architecture,114
7272,Juvenile Nonfiction,16
7273,Business & Economics,21
7274,Social Science,94
7275,Social Science,94
7276,Fiction,5
7277,Nature,66
7278,History,1
7279,Philosophy,67
7280,Juvenile Fiction,9
7281,Medical,81
7282,Science,4
7283,Philosophy,67
7284,History,1
7285,Psychology,26
7286,Fiction,5
7287,Self-Help,107
7288,Fiction,5
7289,Fiction,5
7290,Games,84
7291,Juvenile Fiction,9
7292,Psychology,26
7293,Fiction,5
7294,Medical,81
7295,Religion,25
7296,Technology & Engineering,109
7297,Health & Fitness,75
7298,Crafts & Hobbies,82
7299,History,1
7300,Fiction,5
7301,History,1
7302,Religion,25
7303,Concentration camps,435
7304,History,1
7305,Business & Economics,21
7306,Religion,25
7307,Biography & Autobiography,2
7308,Italian fiction,442
7309,Humor,64
7310,Juvenile Fiction,9
7311,Foreign Language Study,102
7312,Religion,25
7313,Fiction,5
7314,Science fiction,334
7315,Gardening,89
7316,Biography & Autobiography,2
7317,History,1
7318,Science,4
7319,History,1
7320,Philosophy,67
7321,History,1
7322,Literary Collections,32
7323,Language Arts & Disciplines,61
7324,Fiction,5
7325,Juvenile Fiction,9
7326,Crafts & Hobbies,82
7327,Fiction,5
7328,Fiction,5
7329,Biography & Autobiography,2
7330,Art,53
7331,Language Arts & Disciplines,61
7332,Reference,56
7333,Drama,129
7334,Christian biography,443
7335,Fiction,5
7336,Juvenile Fiction,9
7337,House & Home,110
7338,Fiction,5
7339,Business & Economics,21
7340,History,1
7341,Literary Criticism,115
7342,Cooking,44
7343,Social Science,94
7344,Health & Fitness,75
7345,History,1
7346,Fiction,5
7347,Religion,25
7348,Antiques & Collectibles,113
7349,Art,53
7350,Religion,25
7351,Crafts & Hobbies,82
7352,Architecture,114
7353,Psychology,26
7354,Medical,81
7355,Biography & Autobiography,2
7356,Juvenile Nonfiction,16
7357,Sports & Recreation,71
7358,Literary Criticism,115
7359,Medical,81
7360,Cats,444
7361,Technology & Engineering,109
7362,Health & Fitness,75
7363,Fiction,5
7364,Medical,81
7365,Music,57
7366,Biography & Autobiography,2
7367,Fiction,5
7368,Humor,64
7369,Crafts & Hobbies,82
7370,Fiction,5
7371,Performing Arts,139
7372,"Body, Mind & Spirit",24
7373,History,1
7374,Religion,25
7375,Self-Help,107
7376,Anecdotes,445
7377,Art,53
7378,Travel,85
7379,Fiction,5
7380,Architecture,114
7381,Religion,25
7382,Clans,446
7383,Juvenile Fiction,9
7384,Slavery,447
7385,Social Science,94
7386,Biography & Autobiography,2
7387,Art,53
7388,Medical,81
7389,Fiction,5
7390,Medical,81
7391,Juvenile Fiction,9
7392,Music,57
7393,Psychology,26
7394,Good and evil,167
7395,Fiction,5
7396,Fiction,5
7397,Juvenile Fiction,9
7398,Psychology,26
7399,Biography & Autobiography,2
7400,Motion pictures,448
7401,Technology & Engineering,109
7402,Religion,25
7403,Biography & Autobiography,2
7404,Religion,25
7405,Biography & Autobiography,2
7406,Psychology,26
7407,Fiction,5
7408,Business & Economics,21
7409,Fiction,5
7410,Business & Economics,21
7411,Architecture,114
7412,Juvenile Nonfiction,16
7413,Music,57
7414,Literary Criticism,115
7415,Performing Arts,139
7416,Juvenile Nonfiction,16
7417,Social Science,94
7418,Fiction,5
7419,History,1
7420,Crafts & Hobbies,82
7421,Biography & Autobiography,2
7422,Performing Arts,139
7423,Religion,25
7424,Biography & Autobiography,2
7425,Choctaw Indians,449
7426,Cooking,44
7427,Biography & Autobiography,2
7428,"Cookery, Italian",450
7429,Fiction,5
7430,Fiction,5
7431,Juvenile Fiction,9
7432,Nature,66
7433,Days,451
7434,History,1
7435,Health & Fitness,75
7436,Performing Arts,139
7437,Sports & Recreation,71
7438,Juvenile Fiction,9
7439,Education,43
7440,History,1
7441,Self-Help,107
7442,Health & Fitness,75
7443,Language Arts & Disciplines,61
7444,Computers,35
7445,Literary Collections,32
7446,Juvenile Nonfiction,16
7447,Social Science,94
7448,Crafts & Hobbies,82
7449,Political Science,7
