book_id,category,category_id
6089,Comics & Graphic Novels,12
6090,Medical,81
6091,Fiction,5
6092,Computer security,391
6093,Gardening,89
6094,Health & Fitness,75
6095,Physics,392
6096,Medical,81
6097,Religion,25
6098,"Body, Mind & Spirit",24
6099,Self-Help,107
6100,Psychology,26
6101,Computers,35
6102,Computers,35
6103,Fiction,5
6104,Cooking,44
6105,Biography & Autobiography,2
6106,Literary Criticism,115
6107,History,1
6108,Cooking,44
6109,Comics & Graphic Novels,12
6110,History,1
6111,Social Science,94
6112,Education,43
6113,Juvenile Nonfiction,16
6114,Comics & Graphic Novels,12
6115,Art,53
6116,Fiction,5
6117,Religion,25
6118,History,1
6119,History,1
6120,Fiction,5
6121,Immigrants,393
6122,Technology & Engineering,109
6123,Literary Criticism,115
6124,Travel,85
6125,Religion,25
6126,Architecture,114
6127,Mathematics,91
6128,Science,4
6129,Transportation,74
6130,Religion,25
6131,Religion,25
6132,History,1
6133,"Body, Mind & Spirit",24
6134,Religion,25
6135,Juvenile Nonfiction,16
6136,Fiction,5
6137,"Body, Mind & Spirit",24
6138,History,1
6139,Juvenile Nonfiction,16
6140,Health & Fitness,75
6141,Biography & Autobiography,2
6142,Juvenile Fiction,9
6143,"Body, Mind & Spirit",24
6144,Transportation,74
6145,Philosophy,67
6146,Biography & Autobiography,2
6147,Biography & Autobiography,2
6148,Religion,25
6149,History,1
6150,History,1
6151,Juvenile Nonfiction,16
6152,Games & Activities,83
6153,Self-Help,107
6154,Biography & Autobiography,2
6155,Fiction,5
6156,"Body, Mind & Spirit",24
6157,Biography & Autobiography,2
6158,Education,43
6159,Electronic books,185
6160,"Fables, American",394
6161,Fiction,5
6162,Medical,81
6163,Psychology,26
6164,Fiction,5
6165,History,1
6166,Poetry,18
6167,Religion,25
6168,Health & Fitness,75
6169,Social Science,94
6170,Foreign Language Study,102
6171,Religion,25
6172,Art,53
6173,Philosophy,67
6174,Music,57
6175,Health & Fitness,75
6176,"Body, Mind & Spirit",24
6177,Biography & Autobiography,2
6178,Philosophy,67
6179,Science,4
6180,Antiques & Collectibles,113
6181,Literary Criticism,115
6182,History,1
6183,Photography,117
6184,Sports & Recreation,71
6185,Social Science,94
6186,Science,4
6187,Fiction,5
6188,Juvenile Fiction,9
6189,Electronic books,185
6190,Business & Economics,21
6191,Ghost stories,395
6192,Philosophy,67
6193,Political Science,7
6194,Juvenile Fiction,9
