author,author_id
John Green,291
Drew Daywalt,292
Kate Alcott,293
Maeve Binchy,294
Jim Crace,295
Robert Graves,296
Ned Halley,297
Ted Kosmatka,298
Charles Stross,299
Ella Grace,300
Clive Cussler,301
Jeffrey Archer,302
Mason Currey,303
Jack McCallum,304
Jeff Shaara,305
Mark Billingham,306
Tom Clancy,307
Philip K. Dick,308
Mahzarin R. Banaji,309
Anthony G. Greenwald,310
Elizabeth George,311
Susan Wittig Albert,312
Jacqueline Koyanagi,313
Richard Matheson,314
Adam Levin,315
Maria Padian,316
Vivian Vande Velde,317
Jonathan Kellerman,318
Ruth Thomson,319
Fern Michaels,320
Erin MacPherson,321
Jonathan D. Spence,322
George Orwell,323
Nikolaĭ Vasilʹevich Gogolʹ,324
Priscilla Meyer,325
Marilyn Singer,326
Bernd Heinrich,327
Monica Drake,328
Sarah Bruni,329
Jennifer Ashley,330
Joe Hinds,331
Jeff Probst,332
Christopher Tebbetts,333
David Macaulay,334
Helene Tursten,335
Kimberly Mueller,336
Josh Hingst,337
David Garnett,338
Sarah Fabiny,339
Scott Thorson,340
Alex Thorleifson,341
Hugo Wilson,342
James Patterson,343
Lisa Papademetriou,344
W. Awdry,345
William Saroyan,346
Carlin Romano,347
Mitch Winehouse,348
Jean Craighead George,349
Todd Strasser,350
Eric Gill,351
Rosamunde Pilcher,352
P. G. Wodehouse,353
Diane McGovern Billings,354
Desiree Hensel,355
Hergé,356
Beth Bracken,357
Grace Livingston Hill,358
Ryan North,359
Jim O'Connor,360
Gerard J. Tortora,361
Berdell R. Funke,362
Christine L. Case,363
Dave Van Ronk,364
Elijah Wald,365
Mary Walker Phillips,366
Dan Clark,367
Frank Cammuso,368
Jay Lynch,369
Wolf Haas,370
Sarah Arthur,371
Matthew Berry,372
Meg Swansen,373
Lee Epstein,374
Thomas G. Walker,375
Jennifer Adams,376
David Knight,377
Michael Cavanaugh,378
Michael Chaves,379
Marcus Lovejoy,380
David Walsh,381
John A. Love,382
Peter Tyson,383
Peter Taylor,384
Enid Blyton,385
Dominic Sandbrook,386
Henry S. Warren,387
John Eckhardt,388
Michael J. Hernandez,389
Georgette Heyer,390
Luis Buñuel,391
Pati Jinich,392
Zia Allaway,393
Lia Leendertz,394
Judith Merkle Riley,395
Peter Reason,396
Hilary Bradbury,397
Ken Akamatsu,398
Al Cuoco,399
Joseph Rotman,400
Jerry Lynn Ross,401
John Norberg,402
Sakyong Mipham,403
John Fitzgerald Kennedy,404
Martin W. Sandler,405
Toby Venables,406
Dave Hunter,407
Corrine Kenner,408
Jeffrey Abrams,409
Doug Dorst,410
Marcia Williams,411
Romit Dasgupta,412
Craig Childs,413
Gene H. Golub,414
Charles F. Van Loan,415
Redi Tlhabi,416
Sara Baase,417
J. R. R. Tolkien,418
Michael Crichton,419
Gillian Flynn,420
Erin Morgenstern,421
Truman Capote,422
Ezra Jack Keats,423
Dean Koontz,424
Ursula K. Le Guin,425
Charles Dickens,426
Eric Schlosser,427
Cecelia Ahern,428
Harlan Coben,429
Lee Child,430
Dean R. Koontz,431
Bob Goff,432
Donald Miller,433
